1	EC number	Spectator Cofactors	Co-substrate Cofactors	Class	Subsystem	Functional Role	Reaction	Equation	Comments
100	4.1.3.-			Amino acids	Histidine_Biosynthesis_in_plants	Imidazole glycerol phosphate synthase cyclase subunit (EC 4.1.3.-)	rxn03135	(1) L-Glutamate[0] + (2) H+[0] + (1) D-erythro-imidazol-glycerol-phosphate[0] + (1) AICAR[0] <=> (1) L-Glutamine[0] + (1) phosphoribulosylformimino-AICAR-phosphate[0]	
101	4.2.1.19			Amino acids	Histidine_Biosynthesis_in_plants	Imidazoleglycerol-phosphate dehydratase (EC 4.2.1.19)	rxn02473	(1) D-erythro-imidazol-glycerol-phosphate[0] <=> (1) H2O[0] + (1) imidazole acetol-phosphate[0]	
102	3.5.4.19			Amino acids	Histidine_Biosynthesis_in_plants	Phosphoribosyl-AMP cyclohydrolase (EC 3.5.4.19)	rxn02835	(1) H2O[0] + (1) Phosphoribosyl-AMP[0] <=> (1) phosphoribosylformiminoaicar-phosphate[0]	
103	3.6.1.31			Amino acids	Histidine_Biosynthesis_in_plants	Phosphoribosyl-ATP pyrophosphatase (EC 3.6.1.31)	rxn02834	(1) H2O[0] + (1) Phosphoribosyl-ATP[0] <=> (1) PPi[0] + (2) H+[0] + (1) Phosphoribosyl-AMP[0]	
104	5.3.1.16			Amino acids	Histidine_Biosynthesis_in_plants	Phosphoribosylformimino-5-aminoimidazole carboxamide ribotide isomerase (EC 5.3.1.16)	rxn03175	(1) H+[0] + (1) phosphoribosylformiminoaicar-phosphate[0] <=> (1) phosphoribulosylformimino-AICAR-phosphate[0]	
105	1.17.1.8			Amino acids	Lysine_and_threonine_metabolism_in_plants	4-hydroxy-tetrahydrodipicolinate reductase (EC 1.17.1.8)	rxn02928	(1) NAD[0] + (1) tetrahydrodipicolinate[0] <=> (1) NADH[0] + (1) H+[0] + (1) Dihydrodipicolinate[0]	
106	1.17.1.8			Amino acids	Lysine_and_threonine_metabolism_in_plants	4-hydroxy-tetrahydrodipicolinate reductase (EC 1.17.1.8)	rxn02929	(1) NADP[0] + (1) tetrahydrodipicolinate[0] <=> (1) NADPH[0] + (1) H+[0] + (1) Dihydrodipicolinate[0]	
107	4.3.3.7			Amino acids	Lysine_and_threonine_metabolism_in_plants	4-hydroxy-tetrahydrodipicolinate synthase (EC 4.3.3.7)	rxn01644	(1) Pyruvate[0] + (1) L-Aspartate4-semialdehyde[0] <=> (2) H2O[0] + (1) H+[0] + (1) Dihydrodipicolinate[0]	
108	1.2.1.11			Amino acids	Lysine_and_threonine_metabolism_in_plants	Aspartate-semialdehyde dehydrogenase (EC 1.2.1.11)	rxn01643	(1) NADP[0] + (1) Phosphate[0] + (1) L-Aspartate4-semialdehyde[0] <=> (1) NADPH[0] + (1) H+[0] + (1) 4-Phospho-L-aspartate[0]	
109	2.7.2.4			Amino acids	Lysine_and_threonine_metabolism_in_plants	Aspartokinase (EC 2.7.2.4)	rxn00337	(1) ATP[0] + (1) L-Aspartate[0] <=> (1) ADP[0] + (1) 4-Phospho-L-aspartate[0]	
110	2.7.2.4			Amino acids	Lysine_and_threonine_metabolism_in_plants	Aspartokinase (EC 2.7.2.4)	rxn01301	(1) NAD[0] + (1) L-Homoserine[0] <=> (1) NADH[0] + (1) H+[0] + (1) L-Aspartate4-semialdehyde[0]	
111	2.7.2.4			Amino acids	Lysine_and_threonine_metabolism_in_plants	Aspartokinase (EC 2.7.2.4)	rxn01302	(1) NADP[0] + (1) L-Homoserine[0] <=> (1) NADPH[0] + (1) H+[0] + (1) L-Aspartate4-semialdehyde[0]	
112	4.1.1.20			Amino acids	Lysine_and_threonine_metabolism_in_plants	Diaminopimelate decarboxylase (EC 4.1.1.20)	rxn00313	(1) H+[0] + (1) meso-2,6-Diaminopimelate[0] <=> (1) CO2[0] + (1) L-Lysine[0]	
113	5.1.1.7			Amino acids	Lysine_and_threonine_metabolism_in_plants	Diaminopimelate epimerase (EC 5.1.1.7)	rxn01974	(1) LL-2,6-Diaminopimelate[0] <=> (1) meso-2,6-Diaminopimelate[0]	
114	1.1.1.3			Amino acids	Lysine_and_threonine_metabolism_in_plants	Homoserine dehydrogenase (EC 1.1.1.3)	rxn01301	(1) NAD[0] + (1) L-Homoserine[0] <=> (1) NADH[0] + (1) H+[0] + (1) L-Aspartate4-semialdehyde[0]	
115	1.1.1.3			Amino acids	Lysine_and_threonine_metabolism_in_plants	Homoserine dehydrogenase (EC 1.1.1.3)	rxn01302	(1) NADP[0] + (1) L-Homoserine[0] <=> (1) NADPH[0] + (1) H+[0] + (1) L-Aspartate4-semialdehyde[0]	
116	2.7.1.39			Amino acids	Lysine_and_threonine_metabolism_in_plants	Homoserine kinase (EC 2.7.1.39)	rxn19905	(1) ATP[0] + (1) L-Homoserine[0] => (1) ADP[0] + (1) H+[0] + (1) O-Phospho-L-homoserine[0]	
117	2.6.1.83			Amino acids	Lysine_and_threonine_metabolism_in_plants	L,L-diaminopimelate aminotransferase (EC 2.6.1.83)	rxn07441	(1) 2-Oxoglutarate[0] + (1) LL-2,6-Diaminopimelate[0] <=> (1) H2O[0] + (1) L-Glutamate[0] + (1) H+[0] + (1) tetrahydrodipicolinate[0]	
118	4.2.3.1			Amino acids	Lysine_and_threonine_metabolism_in_plants	Threonine synthase (EC 4.2.3.1)	rxn01069	(1) H2O[0] + (1) O-Phospho-L-homoserine[0] <=> (1) Phosphate[0] + (1) L-Threonine[0]	
119	1.13.11.54			Amino acids	Methionine_and_cysteine_metabolism_in_plants	1,2-dihydroxy-3-keto-5-methylthiopentene dioxygenase (EC 1.13.11.54)	rxn05092	(1) O2[0] + (1) 1,2-dihydroxy-3-keto-5-methylthiopentene[0] <=> (1) Formate[0] + (2) H+[0] + (1) 4-methylthio 2-oxobutyrate[0]	
120	4.4.1.14			Amino acids	Methionine_and_cysteine_metabolism_in_plants	1-aminocyclopropane-1-carboxylate synthase (EC 4.4.1.14)	rxn00128	(1) S-Adenosyl-L-methionine[0] <=> (1) H+[0] + (1) 5-Methylthioadenosine[0] + (1) 1-Aminocyclopropane-1-carboxylate[0]	
121	3.1.3.77			Amino acids	Methionine_and_cysteine_metabolism_in_plants	2,3-diketo-5-methylthiopentyl-1-phosphate enolase-phosphatase (EC 3.1.3.77)	rxn05105	(1) 2,3-diketo5-methylthio-1-phosphopentane[0] <=> (1) 2-Hydroxy-3-keto-5-methylthiopentenyl-1-phosphate[0]	
122	3.1.3.77			Amino acids	Methionine_and_cysteine_metabolism_in_plants	2,3-diketo-5-methylthiopentyl-1-phosphate enolase-phosphatase (EC 3.1.3.77)	rxn05106	(1) H2O[0] + (1) 2-Hydroxy-3-keto-5-methylthiopentenyl-1-phosphate[0] <=> (1) Phosphate[0] + (1) 1,2-dihydroxy-3-keto-5-methylthiopentene[0]	
123	3.2.2.16			Amino acids	Methionine_and_cysteine_metabolism_in_plants	5'-methylthioadenosine nucleosidase (EC 3.2.2.16)	rxn01021	(1) H2O[0] + (1) 5-Methylthioadenosine[0] <=> (1) Adenine[0] + (1) 5-Methylthio-D-ribose[0]	
124	2.1.1.14			Amino acids	Methionine_and_cysteine_metabolism_in_plants	5-methyltetrahydropteroyltriglutamate--homocysteine methyltransferase (EC 2.1.1.14)	rxn00693	(1) Homocysteine[0] + (1) 5-Methyltetrahydrofolate[0] <=> (1) L-Methionine[0] + (1) Tetrahydrofolate[0]	
125	2.1.1.14			Amino acids	Methionine_and_cysteine_metabolism_in_plants	5-methyltetrahydropteroyltriglutamate--homocysteine methyltransferase (EC 2.1.1.14)	rxn19900	(1) Homocysteine[0] + (1) 5-Methyltetrahydropteroyltri-L-glutamate[0] <=> (1) L-Methionine[0] + (1) tetrahydropteroyl tri-L-glutamate[0]	
126	2.7.1.100			Amino acids	Methionine_and_cysteine_metabolism_in_plants	5-methylthioribose kinase (EC 2.7.1.100)	rxn02894	(1) ATP[0] + (1) 5-Methylthio-D-ribose[0] <=> (1) ADP[0] + (1) H+[0] + (1) methylthioribose-1-phosphate[0]	
127	3.3.1.1			Amino acids	Methionine_and_cysteine_metabolism_in_plants	Adenosylhomocysteinase (EC 3.3.1.1)	rxn00141	(1) H2O[0] + (1) S-Adenosyl-homocysteine[0] <=> (1) Homocysteine[0] + (1) Adenosine[0]	
128	4.4.1.8			Amino acids	Methionine_and_cysteine_metabolism_in_plants	Cystathionine beta-lyase (EC 4.4.1.8)	rxn15166	(1) H2O[0] + (1) L-Cystathionine[0] => (1) NH3[0] + (1) Pyruvate[0] + (1) Homocysteine[0]	
129	2.5.1.48			Amino acids	Methionine_and_cysteine_metabolism_in_plants	Cystathionine gamma-synthase (EC 2.5.1.48)	rxn02302	(1) L-Cysteine[0] + (1) O-Acetyl-L-homoserine[0] <=> (1) Acetate[0] + (1) H+[0] + (1) Cystathionine[0]	
130	2.5.1.-			Amino acids	Methionine_and_cysteine_metabolism_in_plants	Cystathionine gamma-synthase, O-phospho-L-homoserine dependent (EC 2.5.1.-)	rxn19343	(1) L-Cysteine[0] + (1) O-Phospho-L-homoserine[0] <=> (1) Phosphate[0] + (1) L-Cystathionine[0]	
131	2.5.1.47			Amino acids	Methionine_and_cysteine_metabolism_in_plants	Cysteine synthase (EC 2.5.1.47)	rxn00649	(1) H2S[0] + (1) O-Acetyl-L-serine[0] <=> (1) Acetate[0] + (1) L-Cysteine[0]	
132	2.1.1.10			Amino acids	Methionine_and_cysteine_metabolism_in_plants	Homocysteine S-methyltransferase (EC 2.1.1.10)	rxn00452	(1) S-Adenosyl-L-methionine[0] + (1) Homocysteine[0] <=> (1) S-Adenosyl-homocysteine[0] + (1) L-Methionine[0] + (1) H+[0]	
133	2.1.1.10			Amino acids	Methionine_and_cysteine_metabolism_in_plants	Homocysteine S-methyltransferase (EC 2.1.1.10)	rxn08703	(1) Homocysteine[0] + (1) S-Methyl-L-methionine[0] <=> (2) L-Methionine[0] + (1) H+[0]	
134	2.7.1.39			Amino acids	Methionine_and_cysteine_metabolism_in_plants	Homoserine kinase (EC 2.7.1.39)	rxn19905	(1) ATP[0] + (1) L-Homoserine[0] => (1) ADP[0] + (1) H+[0] + (1) O-Phospho-L-homoserine[0]	
135	2.1.1.12			Amino acids	Methionine_and_cysteine_metabolism_in_plants	Methionine S-methyltransferase (EC 2.1.1.12)	rxn00451	(1) S-Adenosyl-L-methionine[0] + (1) L-Methionine[0] <=> (1) S-Adenosyl-homocysteine[0] + (1) S-Methyl-L-methionine[0]	
136	2.6.1.73			Amino acids	Methionine_and_cysteine_metabolism_in_plants	Methionine--glyoxylate aminotransferase (EC 2.6.1.73)	rxn00454	(1) Glyoxalate[0] + (1) L-Methionine[0] <=> (1) Glycine[0] + (1) 4-methylthio 2-oxobutyrate[0]	
137	2.6.1.88			Amino acids	Methionine_and_cysteine_metabolism_in_plants	Methionine--oxo-acid aminotransferase (EC 2.6.1.88)	rxn00454	(1) Glyoxalate[0] + (1) L-Methionine[0] <=> (1) Glycine[0] + (1) 4-methylthio 2-oxobutyrate[0]	
138	2.6.1.88			Amino acids	Methionine_and_cysteine_metabolism_in_plants	Methionine--oxo-acid aminotransferase (EC 2.6.1.88)	rxn37695	(1) Pyruvate[0] + (1) L-Methionine[0] <=> (1) L-Alanine[0] + (1) 4-methylthio 2-oxobutyrate[0]	
139	5.3.1.23			Amino acids	Methionine_and_cysteine_metabolism_in_plants	Methylthioribose-1-phosphate isomerase (EC 5.3.1.23)	rxn03057	(1) methylthioribose-1-phosphate[0] <=> (1) methylthioribulose-1-phosphate[0]	
140	4.2.1.109			Amino acids	Methionine_and_cysteine_metabolism_in_plants	Methylthioribulose-1-phosphate dehydratase (EC 4.2.1.109)	rxn05104	(1) methylthioribulose-1-phosphate[0] <=> (1) H2O[0] + (1) 2,3-diketo5-methylthio-1-phosphopentane[0]	
141	2.5.1.6			Amino acids	Methionine_and_cysteine_metabolism_in_plants	S-adenosylmethionine synthetase (EC 2.5.1.6)	rxn00126	(1) H2O[0] + (1) ATP[0] + (1) L-Methionine[0] <=> (1) Phosphate[0] + (1) PPi[0] + (1) S-Adenosyl-L-methionine[0] + (1) H+[0]	
142	2.3.1.30			Amino acids	Methionine_and_cysteine_metabolism_in_plants	Serine acetyltransferase (EC 2.3.1.30)	rxn00423	(1) Acetyl-CoA[0] + (1) L-Serine[0] <=> (1) CoA[0] + (1) O-Acetyl-L-serine[0]	
143	3.5.3.1			Amino acids	Proline_metabolism_in_plants	Arginase (EC 3.5.3.1)	rxn00394	(1) H2O[0] + (1) L-Arginine[0] <=> (1) Ornithine[0] + (1) Urea[0]	
144	1.2.1.41			Amino acids	Proline_metabolism_in_plants	Gamma-glutamyl phosphate reductase (EC 1.2.1.41)	rxn02373	(1) NADP[0] + (1) Phosphate[0] + (1) L-Glutamate5-semialdehyde[0] <=> (1) NADPH[0] + (1) H+[0] + (1) L-Glutamyl 5-phosphate[0]	
145	2.7.2.11			Amino acids	Proline_metabolism_in_plants	Glutamate 5-kinase (EC 2.7.2.11)	rxn00179	(1) ATP[0] + (1) L-Glutamate[0] <=> (1) ADP[0] + (1) L-Glutamyl 5-phosphate[0]	
146	2.7.2.11			Amino acids	Proline_metabolism_in_plants	Glutamate 5-kinase (EC 2.7.2.11)	rxn20617	(1) ATP[0] + (1) NADPH[0] + (1) L-Glutamate[0] + (1) H+[0] <=> (1) NADP[0] + (1) ADP[0] + (1) Phosphate[0] + (1) L-Glutamate5-semialdehyde[0]	
147	2.6.1.13			Amino acids	Proline_metabolism_in_plants	Ornithine aminotransferase (EC 2.6.1.13)	rxn20496	(1) 2-Oxoglutarate[0] + (1) Ornithine[0] <=> (1) L-Glutamate[0] + (1) L-Glutamate5-semialdehyde[0]	
148	1.5.1.2			Amino acids	Proline_metabolism_in_plants	Pyrroline-5-carboxylate reductase (EC 1.5.1.2)	rxn00929	(1) NAD[0] + (1) L-Proline[0] <=> (1) NADH[0] + (2) H+[0] + (1) 1-Pyrroline-5-carboxylate[0]	
149	1.5.1.2			Amino acids	Proline_metabolism_in_plants	Pyrroline-5-carboxylate reductase (EC 1.5.1.2)	rxn00931	(1) NADP[0] + (1) L-Proline[0] <=> (1) NADPH[0] + (2) H+[0] + (1) 1-Pyrroline-5-carboxylate[0]	
150				Amino acids	Proline_metabolism_in_plants	Spontaneous Reaction	rxn02374	(1) L-Glutamate5-semialdehyde[0] <=> (1) H2O[0] + (1) H+[0] + (1) 1-Pyrroline-5-carboxylate[0]	
151	2.4.2.18			Amino acids	Tryptophan_metabolism_in_plants	Anthranilate phosphoribosyltransferase (EC 2.4.2.18)	rxn00791	(1) PPi[0] + (1) H+[0] + (1) N-5-phosphoribosyl-anthranilate[0] <=> (1) Anthranilate[0] + (1) PRPP[0]	
152	4.1.3.27			Amino acids	Tryptophan_metabolism_in_plants	Anthranilate synthase, amidotransferase component (EC 4.1.3.27)	rxn27709	(1) L-Glutamine[0] + (1) Chorismate[0] => (1) Pyruvate[0] + (1) L-Glutamate[0] + (1) H+[0] + (1) Anthranilate[0]	
153	4.1.3.27			Amino acids	Tryptophan_metabolism_in_plants	Anthranilate synthase, aminase component (EC 4.1.3.27)	rxn27709	(1) L-Glutamine[0] + (1) Chorismate[0] => (1) Pyruvate[0] + (1) L-Glutamate[0] + (1) H+[0] + (1) Anthranilate[0]	
154	4.1.2.8			Amino acids	Tryptophan_metabolism_in_plants	Indole synthase (EC 4.1.2.8)	rxn28615	(1) Indoleglycerol phosphate[0] <=> (1) Glyceraldehyde3-phosphate[0] + (1) indol[0]	
155	4.1.1.48			Amino acids	Tryptophan_metabolism_in_plants	Indole-3-glycerol phosphate synthase (EC 4.1.1.48)	rxn02507	(1) H+[0] + (1) 1-(2-carboxyphenylamino)-1-deoxyribulose 5-phosphate[0] <=> (1) H2O[0] + (1) CO2[0] + (1) Indoleglycerol phosphate[0]	
156	5.3.1.24			Amino acids	Tryptophan_metabolism_in_plants	Phosphoribosylanthranilate isomerase (EC 5.3.1.24)	rxn28082	(1) N-5-phosphoribosyl-anthranilate[0] <=> (1) 1-(2-carboxyphenylamino)-1-deoxyribulose 5-phosphate[0]	
157	4.2.1.20			Amino acids	Tryptophan_metabolism_in_plants	Tryptophan synthase alpha chain (EC 4.2.1.20)	rxn28615	(1) Indoleglycerol phosphate[0] <=> (1) Glyceraldehyde3-phosphate[0] + (1) indol[0]	
158	4.2.1.20			Amino acids	Tryptophan_metabolism_in_plants	Tryptophan synthase beta chain (EC 4.2.1.20)	rxn26013	(1) L-Serine[0] + (1) indol[0] <=> (1) H2O[0] + (1) L-Tryptophan[0]	
159	4.2.1.91			Amino acids	Tyrosine_and_phenylalanine_metabolism_in_plants	Arogenate dehydratase (EC 4.2.1.91)	rxn19253	(1) H+[0] + (1) Pretyrosine[0] => (1) H2O[0] + (1) CO2[0] + (1) L-Phenylalanine[0]	
160	1.3.1.78			Amino acids	Tyrosine_and_phenylalanine_metabolism_in_plants	Arogenate dehydrogenase (EC 1.3.1.78)	rxn24109	(1) NADP[0] + (1) Pretyrosine[0] => (1) NADPH[0] + (1) CO2[0] + (1) L-Tyrosine[0]	
161	2.6.1.1			Amino acids	Tyrosine_and_phenylalanine_metabolism_in_plants	Aspartate aminotransferase (EC 2.6.1.1)	rxn00260	(1) 2-Oxoglutarate[0] + (1) L-Aspartate[0] <=> (1) L-Glutamate[0] + (1) Oxaloacetate[0]	
162	2.6.1.1			Amino acids	Tyrosine_and_phenylalanine_metabolism_in_plants	Aspartate aminotransferase (EC 2.6.1.1)	rxn00527	(1) 2-Oxoglutarate[0] + (1) L-Tyrosine[0] <=> (1) L-Glutamate[0] + (1) p-hydroxyphenylpyruvate[0]	
163	5.4.99.5			Amino acids	Tyrosine_and_phenylalanine_metabolism_in_plants	Chorismate mutase III (EC 5.4.99.5)	rxn01256	(1) Chorismate[0] <=> (1) Prephenate[0]	
164	2.6.1.79			Amino acids	Tyrosine_and_phenylalanine_metabolism_in_plants	Glutamate--prephenate aminotransferase (EC 2.6.1.79)	rxn28083	(1) L-Glutamate[0] + (1) Prephenate[0] <=> (1) 2-Oxoglutarate[0] + (1) Pretyrosine[0]	
165	2.6.1.9			Amino acids	Tyrosine_and_phenylalanine_metabolism_in_plants	Histidinol-phosphate aminotransferase (EC 2.6.1.9)	rxn00527	(1) 2-Oxoglutarate[0] + (1) L-Tyrosine[0] <=> (1) L-Glutamate[0] + (1) p-hydroxyphenylpyruvate[0]	
166	2.6.1.9			Amino acids	Tyrosine_and_phenylalanine_metabolism_in_plants	Histidinol-phosphate aminotransferase (EC 2.6.1.9)	rxn02320	(1) 2-Oxoglutarate[0] + (1) L-histidinol-phosphate[0] <=> (1) L-Glutamate[0] + (1) imidazole acetol-phosphate[0]	
167	4.2.1.51			Amino acids	Tyrosine_and_phenylalanine_metabolism_in_plants	Prephenate dehydratase (EC 4.2.1.51)	rxn19253	(1) H+[0] + (1) Pretyrosine[0] => (1) H2O[0] + (1) CO2[0] + (1) L-Phenylalanine[0]	
168	2.6.1.5			Amino acids	Tyrosine_and_phenylalanine_metabolism_in_plants	Tyrosine aminotransferase (EC 2.6.1.5)	rxn00527	(1) 2-Oxoglutarate[0] + (1) L-Tyrosine[0] <=> (1) L-Glutamate[0] + (1) p-hydroxyphenylpyruvate[0]	
169	5.4.2.11			Carbohydrates	Sucrose_metabolism_in_plants	2,3-bisphosphoglycerate-dependent phosphoglycerate mutase (EC 5.4.2.11)	rxn01106	(1) 2-Phospho-D-glycerate[0] <=> (1) 3-Phosphoglycerate[0]	
170	5.4.2.1			Carbohydrates	Sucrose_metabolism_in_plants	2,3-bisphosphoglycerate-independent phosphoglycerate mutase (EC 5.4.2.1)	rxn01106	(1) 2-Phospho-D-glycerate[0] <=> (1) 3-Phosphoglycerate[0]	
171	5.4.2.12			Carbohydrates	Sucrose_metabolism_in_plants	2,3-bisphosphoglycerate-independent phosphoglycerate mutase (EC 5.4.2.12)	rxn01106	(1) 2-Phospho-D-glycerate[0] <=> (1) 3-Phosphoglycerate[0]	
172	2.7.1.11			Carbohydrates	Sucrose_metabolism_in_plants	6-phosphofructokinase (EC 2.7.1.11)	rxn15493	(1) ATP[0] + (1) beta-D-Fructose 6-phosphate[0] => (1) ADP[0] + (1) H+[0] + (1) beta-D-Fructose 1,6-bisphosphate[0]	
173	1.1.1.1			Carbohydrates	Sucrose_metabolism_in_plants	Alcohol dehydrogenase (EC 1.1.1.1)	rxn00543	(1) NAD[0] + (1) Ethanol[0] <=> (1) NADH[0] + (1) H+[0] + (1) Acetaldehyde[0]	
174	4.2.1.11			Carbohydrates	Sucrose_metabolism_in_plants	Enolase (EC 4.2.1.11)	rxn00459	(1) 2-Phospho-D-glycerate[0] <=> (1) H2O[0] + (1) Phosphoenolpyruvate[0]	
175	2.7.1.4			Carbohydrates	Sucrose_metabolism_in_plants	Fructokinase (EC 2.7.1.4)	rxn15435	(1) ATP[0] + (1) beta-D-Fructose[0] => (1) ADP[0] + (1) H+[0] + (1) beta-D-Fructose 6-phosphate[0]	
176	3.1.3.11			Carbohydrates	Sucrose_metabolism_in_plants	Fructose-1,6-bisphosphatase, type I (EC 3.1.3.11)	rxn15494	(1) H2O[0] + (1) beta-D-Fructose 1,6-bisphosphate[0] <=> (1) Phosphate[0] + (1) beta-D-Fructose 6-phosphate[0]	
177	4.1.2.13			Carbohydrates	Sucrose_metabolism_in_plants	Fructose-bisphosphate aldolase class I (EC 4.1.2.13)	rxn01334	(1) Sedoheptulose 1,7-bisphosphate[0] <=> (1) Glycerone-phosphate[0] + (1) D-Erythrose4-phosphate[0]	
178	4.1.2.13			Carbohydrates	Sucrose_metabolism_in_plants	Fructose-bisphosphate aldolase class I (EC 4.1.2.13)	rxn15116	(1) beta-D-Fructose 1,6-bisphosphate[0] <=> (1) Glycerone-phosphate[0] + (1) Glyceraldehyde3-phosphate[0]	
179	5.3.1.9			Carbohydrates	Sucrose_metabolism_in_plants	Glucose-6-phosphate isomerase (EC 5.3.1.9)	rxn02380	(1) beta-D-Glucose 6-phosphate[0] <=> (1) D-fructose-6-phosphate[0]	
180	5.3.1.9			Carbohydrates	Sucrose_metabolism_in_plants	Glucose-6-phosphate isomerase (EC 5.3.1.9)	rxn15364	(1) alpha-D-Glucose 6-phosphate[0] <=> (1) beta-D-Fructose 6-phosphate[0]	
181	2.7.1.1			Carbohydrates	Sucrose_metabolism_in_plants	Hexokinase (EC 2.7.1.1)	rxn01169	(1) ATP[0] + (1) beta-D-Glucose[0] <=> (1) ADP[0] + (1) H+[0] + (1) beta-D-Glucose 6-phosphate[0]	
182	2.7.1.1			Carbohydrates	Sucrose_metabolism_in_plants	Hexokinase (EC 2.7.1.1)	rxn15121	(1) ATP[0] + (1) alpha-D-Galactose[0] => (1) ADP[0] + (1) H+[0] + (1) D-Galactose 1-phosphate[0]	
183	2.7.1.1			Carbohydrates	Sucrose_metabolism_in_plants	Hexokinase (EC 2.7.1.1)	rxn15249	(1) ATP[0] + (1) alpha-D-Glucose[0] => (1) ADP[0] + (1) H+[0] + (1) alpha-D-Glucose 6-phosphate[0]	
184	2.7.1.1			Carbohydrates	Sucrose_metabolism_in_plants	Hexokinase (EC 2.7.1.1)	rxn15435	(1) ATP[0] + (1) beta-D-Fructose[0] => (1) ADP[0] + (1) H+[0] + (1) beta-D-Fructose 6-phosphate[0]	
185	2.7.1.1			Carbohydrates	Sucrose_metabolism_in_plants	Hexokinase (EC 2.7.1.1)	rxn20176	(1) ATP[0] + (1) MANNOSE[0] => (1) ADP[0] + (1) H+[0] + (1) D-mannose-6-phosphate[0]	
186	1.1.1.27			Carbohydrates	Sucrose_metabolism_in_plants	L-lactate dehydrogenase (EC 1.1.1.27)	rxn00499	(1) NAD[0] + (1) L-Lactate[0] <=> (1) NADH[0] + (1) Pyruvate[0] + (1) H+[0]	
187	1.2.1.12			Carbohydrates	Sucrose_metabolism_in_plants	NAD-dependent glyceraldehyde-3-phosphate dehydrogenase (EC 1.2.1.12)	rxn00781	(1) NAD[0] + (1) Phosphate[0] + (1) Glyceraldehyde3-phosphate[0] <=> (1) NADH[0] + (1) H+[0] + (1) 1,3-Bisphospho-D-glycerate[0]	
188	2.7.9.2			Carbohydrates	Sucrose_metabolism_in_plants	Phosphoenolpyruvate synthase (EC 2.7.9.2)	rxn00147	(1) H2O[0] + (1) ATP[0] + (1) Pyruvate[0] <=> (1) Phosphate[0] + (1) AMP[0] + (1) Phosphoenolpyruvate[0] + (3) H+[0]	
189	5.4.2.2			Carbohydrates	Sucrose_metabolism_in_plants	Phosphoglucomutase (EC 5.4.2.2)	rxn20583	(1) Glucose-1-phosphate[0] <=> (1) alpha-D-Glucose 6-phosphate[0]	
190	2.7.2.3			Carbohydrates	Sucrose_metabolism_in_plants	Phosphoglycerate kinase (EC 2.7.2.3)	rxn01100	(1) ATP[0] + (1) 3-Phosphoglycerate[0] <=> (1) ADP[0] + (1) 1,3-Bisphospho-D-glycerate[0]	
191	4.1.1.1			Carbohydrates	Sucrose_metabolism_in_plants	Pyruvate decarboxylase (EC 4.1.1.1)	rxn00011	(1) CO2[0] + (1) 2-Hydroxyethyl-ThPP[0] <=> (1) Pyruvate[0] + (1) TPP[0] + (1) H+[0]	
192	4.1.1.1			Carbohydrates	Sucrose_metabolism_in_plants	Pyruvate decarboxylase (EC 4.1.1.1)	rxn00168	(1) Pyruvate[0] + (1) H+[0] <=> (1) CO2[0] + (1) Acetaldehyde[0]	
193	2.7.1.40			Carbohydrates	Sucrose_metabolism_in_plants	Pyruvate kinase (EC 2.7.1.40)	rxn00148	(1) ATP[0] + (1) Pyruvate[0] <=> (1) ADP[0] + (1) Phosphoenolpyruvate[0] + (1) H+[0]	
194				Carbohydrates	Sucrose_metabolism_in_plants	Spontaneous Reaction	rxn31240	(1) alpha-D-Glucose 6-phosphate[0] <=> (1) beta-D-Glucose 6-phosphate[0]	
195	3.2.1.26			Carbohydrates	Sucrose_metabolism_in_plants	Sucrose alpha-glucosidase, alkaline/neutral invertase (EC 3.2.1.26)	rxn15069	(1) H2O[0] + (1) Sucrose[0] => (1) alpha-D-Glucose[0] + (1) beta-D-Fructose[0]	
196	2.4.1.13			Carbohydrates	Sucrose_metabolism_in_plants	Sucrose synthase (EC 2.4.1.13)	rxn37266	(1) UDP-glucose[0] + (1) beta-D-Fructose[0] <=> (1) UDP[0] + (1) Sucrose[0]	
197	3.1.3.24			Carbohydrates	Sucrose_metabolism_in_plants	Sucrose-phosphate phosphatase (EC 3.1.3.24)	rxn00578	(1) H2O[0] + (1) 6-Phosphosucrose[0] <=> (1) Phosphate[0] + (1) Sucrose[0]	
198	2.4.1.14			Carbohydrates	Sucrose_metabolism_in_plants	Sucrose-phosphate synthase (EC 2.4.1.14)	rxn15062	(1) UDP-glucose[0] + (1) beta-D-Fructose 6-phosphate[0] <=> (1) UDP[0] + (1) 6-Phosphosucrose[0]	
199	3.1.3.9			Carbohydrates	Sucrose_metabolism_in_plants	Sugar-terminal-phosphatase (EC 3.1.3.9/ EC 3.1.3.58)	rxn15250	(1) H2O[0] + (1) alpha-D-Glucose 6-phosphate[0] <=> (1) Phosphate[0] + (1) alpha-D-Glucose[0]	
200	5.3.1.1			Carbohydrates	Sucrose_metabolism_in_plants	Triosephosphate isomerase (EC 5.3.1.1)	rxn00747	(1) Glyceraldehyde3-phosphate[0] <=> (1) Glycerone-phosphate[0]	
201	2.7.7.9			Carbohydrates	Sucrose_metabolism_in_plants	UTP--glucose-1-phosphate uridylyltransferase (EC 2.7.7.9)	rxn00213	(1) UTP[0] + (1) Glucose-1-phosphate[0] <=> (1) PPi[0] + (1) UDP-glucose[0]	
